index,knowledge_point_id,module_id,phase_id,sort_order,objective_code,name_en,name_zh,name_es,objective_en,objective_zh,objective_es,difficulty_level,chinese_l1_risk,spanish_l1_risk,misconception_codes,review_status,review_notes
10,obj_contrast,clauses,obj,3,RC-03-03,People & Things as Objects: Contrast and misconception,指人或物作宾语：对比与易错点,Personas y cosas como objeto: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
11,obj_production,clauses,obj,4,RC-03-04,People & Things as Objects: Editing and production,指人或物作宾语：改错与产出,Personas y cosas como objeto: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
12,subobj_form,clauses,subobj,1,RC-04-01,Subject vs Object: Core form,主语与宾语辨析：核心形式,Sujeto frente a objeto: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
13,subobj_meaning,clauses,subobj,2,RC-04-02,Subject vs Object: Meaning and use,主语与宾语辨析：意义与用法,Sujeto frente a objeto: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
14,subobj_contrast,clauses,subobj,3,RC-04-03,Subject vs Object: Contrast and misconception,主语与宾语辨析：对比与易错点,Sujeto frente a objeto: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
15,subobj_production,clauses,subobj,4,RC-04-04,Subject vs Object: Editing and production,主语与宾语辨析：改错与产出,Sujeto frente a objeto: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
16,oblq_form,clauses,oblq,1,RC-05-01,"Place, Time & Reason: Core form",地点、时间与原因：核心形式,"Lugar, tiempo y razón: Forma central",Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
17,oblq_meaning,clauses,oblq,2,RC-05-02,"Place, Time & Reason: Meaning and use",地点、时间与原因：意义与用法,"Lugar, tiempo y razón: Significado y uso",Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
18,oblq_contrast,clauses,oblq,3,RC-05-03,"Place, Time & Reason: Contrast and misconception",地点、时间与原因：对比与易错点,"Lugar, tiempo y razón: Contraste y error frecuente",Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
19,oblq_production,clauses,oblq,4,RC-05-04,"Place, Time & Reason: Editing and production",地点、时间与原因：改错与产出,"Lugar, tiempo y razón: Corrección y producción",Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
20,gen_form,clauses,gen,1,RC-06-01,Possessive Whose: Core form,所有格 whose：核心形式,Posesivo whose: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
21,gen_meaning,clauses,gen,2,RC-06-02,Possessive Whose: Meaning and use,所有格 whose：意义与用法,Posesivo whose: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
22,gen_contrast,clauses,gen,3,RC-06-03,Possessive Whose: Contrast and misconception,所有格 whose：对比与易错点,Posesivo whose: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
23,gen_production,clauses,gen,4,RC-06-04,Possessive Whose: Editing and production,所有格 whose：改错与产出,Posesivo whose: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
24,rest_form,clauses,rest,1,RC-07-01,Restrictive vs Non-restrictive: Core form,限制性与非限制性：核心形式,Restrictivas y no restrictivas: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
25,rest_meaning,clauses,rest,2,RC-07-02,Restrictive vs Non-restrictive: Meaning and use,限制性与非限制性：意义与用法,Restrictivas y no restrictivas: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
26,rest_contrast,clauses,rest,3,RC-07-03,Restrictive vs Non-restrictive: Contrast and misconception,限制性与非限制性：对比与易错点,Restrictivas y no restrictivas: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
27,rest_production,clauses,rest,4,RC-07-04,Restrictive vs Non-restrictive: Editing and production,限制性与非限制性：改错与产出,Restrictivas y no restrictivas: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
28,prod_form,clauses,prod,1,RC-08-01,Relative Clause Mastery: Core form,定语从句综合运用：核心形式,Dominio de las cláusulas relativas: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_FORM_01|RC_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
29,prod_meaning,clauses,prod,2,RC-08-02,Relative Clause Mastery: Meaning and use,定语从句综合运用：意义与用法,Dominio de las cláusulas relativas: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_MEANING_01|RC_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
30,prod_contrast,clauses,prod,3,RC-08-03,Relative Clause Mastery: Contrast and misconception,定语从句综合运用：对比与易错点,Dominio de las cláusulas relativas: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_CONTRAST_01|RC_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
31,prod_production,clauses,prod,4,RC-08-04,Relative Clause Mastery: Editing and production,定语从句综合运用：改错与产出,Dominio de las cláusulas relativas: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文修饰语通常位于名词前，学习者可能省略关系词、保留重复代词或误判逗号。,"El español usa que con mucha frecuencia; puede provocar sobreuso de which/that, pronombres redundantes y comas transferidas.",RC_PRODUCTION_01|RC_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
32,prep_place_form,prepositions,prep_place,1,PREP-01-01,In / On / At — Place: Core form,In / On / At — 地点：核心形式,In / On / At — Lugar: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_FORM_01|PREP_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
33,prep_place_meaning,prepositions,prep_place,2,PREP-01-02,In / On / At — Place: Meaning and use,In / On / At — 地点：意义与用法,In / On / At — Lugar: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_MEANING_01|PREP_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
34,prep_place_contrast,prepositions,prep_place,3,PREP-01-03,In / On / At — Place: Contrast and misconception,In / On / At — 地点：对比与易错点,In / On / At — Lugar: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_CONTRAST_01|PREP_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
35,prep_place_production,prepositions,prep_place,4,PREP-01-04,In / On / At — Place: Editing and production,In / On / At — 地点：改错与产出,In / On / At — Lugar: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_PRODUCTION_01|PREP_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
36,prep_time_form,prepositions,prep_time,1,PREP-02-01,In / On / At — Time: Core form,In / On / At — 时间：核心形式,In / On / At — Tiempo: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_FORM_01|PREP_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
37,prep_time_meaning,prepositions,prep_time,2,PREP-02-02,In / On / At — Time: Meaning and use,In / On / At — 时间：意义与用法,In / On / At — Tiempo: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_MEANING_01|PREP_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
38,prep_time_contrast,prepositions,prep_time,3,PREP-02-03,In / On / At — Time: Contrast and misconception,In / On / At — 时间：对比与易错点,In / On / At — Tiempo: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_CONTRAST_01|PREP_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
39,prep_time_production,prepositions,prep_time,4,PREP-02-04,In / On / At — Time: Editing and production,In / On / At — 时间：改错与产出,In / On / At — Tiempo: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_PRODUCTION_01|PREP_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
40,prep_mixed_form,prepositions,prep_mixed,1,PREP-03-01,Place + Time Mixed: Core form,地点与时间混练：核心形式,Lugar y tiempo mezclados: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_FORM_01|PREP_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
41,prep_mixed_meaning,prepositions,prep_mixed,2,PREP-03-02,Place + Time Mixed: Meaning and use,地点与时间混练：意义与用法,Lugar y tiempo mezclados: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_MEANING_01|PREP_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
42,prep_mixed_contrast,prepositions,prep_mixed,3,PREP-03-03,Place + Time Mixed: Contrast and misconception,地点与时间混练：对比与易错点,Lugar y tiempo mezclados: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_CONTRAST_01|PREP_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
43,prep_mixed_production,prepositions,prep_mixed,4,PREP-03-04,Place + Time Mixed: Editing and production,地点与时间混练：改错与产出,Lugar y tiempo mezclados: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_PRODUCTION_01|PREP_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
44,prep_prod_form,prepositions,prep_prod,1,PREP-04-01,In / On / At Editing: Core form,In / On / At 改错：核心形式,Corrección con in / on / at: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_FORM_01|PREP_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
45,prep_prod_meaning,prepositions,prep_prod,2,PREP-04-02,In / On / At Editing: Meaning and use,In / On / At 改错：意义与用法,Corrección con in / on / at: Significado y uso,Choose the form according to the intended meaning and context.,根据目标意义和语境选择形式。,Elige la forma según el significado y el contexto.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_MEANING_01|PREP_MEANING_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
46,prep_prod_contrast,prepositions,prep_prod,3,PREP-04-03,In / On / At Editing: Contrast and misconception,In / On / At 改错：对比与易错点,Corrección con in / on / at: Contraste y error frecuente,Distinguish the target pattern from a plausible competing pattern.,区分目标结构与容易混淆的相近结构。,Distingue el patrón objetivo de una alternativa plausible.,2,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_CONTRAST_01|PREP_CONTRAST_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
47,prep_prod_production,prepositions,prep_prod,4,PREP-04-04,In / On / At Editing: Editing and production,In / On / At 改错：改错与产出,Corrección con in / on / at: Corrección y producción,Correct or produce the target pattern without topic labels.,在没有主题标签提示时改正或产出目标结构。,Corrige o produce el patrón sin etiquetas temáticas.,3,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_PRODUCTION_01|PREP_PRODUCTION_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
48,prep_move_form,prepositions,prep_move,1,PREP-05-01,Movement & Direction: Core form,移动与方向：核心形式,Movimiento y dirección: Forma central,Recognize and build the core form used in this phase.,识别并构建本阶段的核心形式。,Reconoce y construye la forma central de esta fase.,1,中文介词系统与英语不一一对应，学习者容易依赖直译并混淆地点、时间和搭配。,Las equivalencias con a/en/de/por no son directas; puede haber transferencia literal y confusión de colocaciones.,PREP_FORM_01|PREP_FORM_02,draft,Curriculum architecture approved; question-level content still requires separate pedagogy and bilingual review.
